session_id,user_id,role,session_start,session_end,event_count,login_attempts,failed_logins,unique_ips,unique_locations,unique_devices,unique_resources,download_events,upload_events,total_data_mb,max_single_transfer_mb,privileged_actions,is_attack,duration_minutes,start_hour,day_of_week,is_weekend,is_night,failed_login_rate,data_per_event_mb,attack_type,start_hour_deviation,duration_minutes_deviation,event_count_deviation,failed_login_rate_deviation,unique_locations_deviation,unique_devices_deviation,unique_resources_deviation,total_data_mb_deviation,privileged_actions_deviation,behavioral_deviation,personal_history_size,personal_weight,baseline_source,immediate_risk,short_term_risk,medium_term_risk,long_term_risk,persistence_risk,trend_risk,multi_horizon_risk,authentication_abuse,geographic_risk,device_risk,resource_spread_risk,privilege_risk,data_movement_risk,temporal_risk,context_risk,final_risk,trust_decision,learn_allowed,baseline_confidence,evidence_disagreement,quarantine_status,consistency_count,released_from_quarantine,actually_learned
session_244c74dbcf45,user_069,hr,2026-06-11 07:06:48,2026-06-11 09:19:48,11,4,0,11,1,1,3,4,0,71.582,23.736,0,0,133.0,7.1,3,0,0,0.0,6.507454545454545,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.77,TRUST,True,0.0,1.04,NOT_REQUIRED,0,False,True
session_30512c7e4ca7,user_064,finance,2026-06-11 07:38:00,2026-06-11 11:08:00,15,5,0,15,1,1,3,2,2,47.504,14.455,0,0,210.0,7.633333333333333,3,0,0,0.0,3.166933333333333,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1.54,TRUST,True,0.0,2.07,NOT_REQUIRED,0,False,True
session_3132bc14da0c,user_073,hr,2026-06-11 07:39:27,2026-06-11 11:57:27,16,5,0,16,1,1,3,1,0,5.208,5.208,0,0,258.0,7.65,3,0,0,0.0,0.3255,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1.54,TRUST,True,0.0,2.07,NOT_REQUIRED,0,False,True
session_8ef82eb514b6,user_011,analyst,2026-06-11 07:47:15,2026-06-11 11:05:15,11,4,0,11,1,1,4,4,0,37.914,15.933,0,0,198.0,7.783333333333333,3,0,0,0.0,3.446727272727273,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.77,TRUST,True,0.0,1.04,NOT_REQUIRED,0,False,True
session_bdd27597a60d,user_050,developer,2026-06-11 07:50:14,2026-06-11 13:55:14,24,6,0,24,1,1,5,0,0,0.0,0.0,0,0,365.0,7.833333333333333,3,0,0,0.0,0.0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,10.0,0.0,0.0,0.0,9.6,3.36,TRUST,True,0.0,4.53,NOT_REQUIRED,0,False,True
session_247694b5ac54,user_007,developer,2026-06-11 07:52:52,2026-06-11 11:25:52,16,4,0,16,1,1,4,0,0,0.0,0.0,0,0,213.0,7.866666666666667,3,0,0,0.0,0.0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.77,TRUST,True,0.0,1.04,NOT_REQUIRED,0,False,True
session_10e03809268d,user_032,hr,2026-06-11 07:59:24,2026-06-11 12:52:24,19,7,0,19,1,1,3,5,0,19.408,6.767,0,0,293.0,7.983333333333333,3,0,0,0.0,1.0214736842105263,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,3.08,TRUST,True,0.0,4.15,NOT_REQUIRED,0,False,True
session_ef3abc26d7d6,user_068,developer,2026-06-11 08:09:57,2026-06-11 10:14:57,10,3,0,10,1,1,5,0,0,0.0,0.0,0,0,125.0,8.15,3,0,0,0.0,0.0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.5,1.92,TRUST,True,0.0,2.59,NOT_REQUIRED,0,False,True
session_7246daff7da6,user_022,developer,2026-06-11 08:09:58,2026-06-11 12:07:58,16,3,0,16,1,1,5,0,0,0.0,0.0,0,0,238.0,8.15,3,0,0,0.0,0.0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.5,1.92,TRUST,True,0.0,2.59,NOT_REQUIRED,0,False,True
session_f3dd678dfadb,user_042,developer,2026-06-11 08:11:39,2026-06-11 12:55:39,19,7,0,19,1,1,5,0,0,0.0,0.0,0,0,284.0,8.183333333333334,3,0,0,0.0,0.0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cold_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,11.8,4.13,TRUST,True,0.0,5.56,NOT_REQUIRED,0,False,True
